study_accession	sample_id	sample_accession	replicate_id	run_accession	experiment_accession	ftp_R1	ftp_R2
PRJEB86111	GY8K8O	SAMEA117961195	GY8K8O_Rep3	ERR14791386	ERX14196173	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791386/GY8K8O_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791386/GY8K8O_Rep3.R2.fastq.gz
PRJEB86111	GYTL2T	SAMEA117961229	GYTL2T_Rep1	ERR14791387	ERX14196174	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791387/GYTL2T_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791387/GYTL2T_Rep1.R2.fastq.gz
PRJEB86111	GYTL2T	SAMEA117961229	GYTL2T_Rep2	ERR14791388	ERX14196175	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791388/GYTL2T_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791388/GYTL2T_Rep2.R2.fastq.gz
PRJEB86111	GYTL2T	SAMEA117961229	GYTL2T_Rep3	ERR14791389	ERX14196176	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791389/GYTL2T_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791389/GYTL2T_Rep3.R2.fastq.gz
PRJEB86111	GYULW2	SAMEA117961222	GYULW2_Rep1	ERR14791390	ERX14196177	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791390/GYULW2_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791390/GYULW2_Rep1.R2.fastq.gz
PRJEB86111	GYULW2	SAMEA117961222	GYULW2_Rep2	ERR14791391	ERX14196178	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791391/GYULW2_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791391/GYULW2_Rep2.R2.fastq.gz
PRJEB86111	GYULW2	SAMEA117961222	GYULW2_Rep3	ERR14791392	ERX14196179	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791392/GYULW2_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791392/GYULW2_Rep3.R2.fastq.gz
PRJEB86111	GZDUDR	SAMEA117961230	GZDUDR_Rep1	ERR14791393	ERX14196180	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791393/GZDUDR_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791393/GZDUDR_Rep1.R2.fastq.gz
PRJEB86111	GZDUDR	SAMEA117961230	GZDUDR_Rep2	ERR14791394	ERX14196181	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791394/GZDUDR_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791394/GZDUDR_Rep2.R2.fastq.gz
PRJEB86111	GZDUDR	SAMEA117961230	GZDUDR_Rep3	ERR14791395	ERX14196182	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791395/GZDUDR_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791395/GZDUDR_Rep3.R2.fastq.gz
PRJEB86111	GZT2TR	SAMEA117961208	GZT2TR_Rep1	ERR14791396	ERX14196183	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791396/GZT2TR_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791396/GZT2TR_Rep1.R2.fastq.gz
PRJEB86111	GZT2TR	SAMEA117961208	GZT2TR_Rep2	ERR14791397	ERX14196184	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791397/GZT2TR_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791397/GZT2TR_Rep2.R2.fastq.gz
PRJEB86111	GZT2TR	SAMEA117961208	GZT2TR_Rep3	ERR14791398	ERX14196185	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791398/GZT2TR_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791398/GZT2TR_Rep3.R2.fastq.gz
